Tank,Colony,Time.point,Ramp,Coral.Watch.Color1,Coral.Watch.Color2,Coral.Watch.Color3,PAM..Fv.Fm.,Site,LBSP,pop2016,AverageRed
B,3,Recovery,33,5,3.5,3.5,0.64,Coconut Point,High,6707,214.8
B,3,Recovery,33,6,5.5,2,0.631,Faga'alu,Medium,910,227.9
B,3,Recovery,33,6,6,2,0.654,Vatia,Low,640,237.4
B,3,Recovery,33,6,6,3,0.618,Faga'tele,Low,0,232.1
B,3,Recovery,33,6,6,5.5,0.633,Cannery,High,9276,149.8
B,3,Stress,33,5,5,NA,0.634,Vatia,Low,640,153.2
B,3,Stress,33,5.5,4.5,NA,0.629,Coconut Point,High,6707,NA
B,3,Stress,33,5.5,5.5,NA,0.658,Cannery,High,9276,125.9
B,3,Stress,33,6,6,NA,0.61,Faga'tele,Low,0,84
B,3,Stress,33,6,6,NA,0.673,Faga'alu,Medium,910,120.7
B,4,Recovery,33,5.5,5.5,3,0.576,Vatia,Low,640,186.5
B,4,Recovery,33,5.5,5.5,3.5,0.645,Coconut Point,High,6707,230.6
B,4,Recovery,33,6,5.5,4.5,0.586,Cannery,High,9276,193.2
B,4,Recovery,33,6,6,2,0.662,Faga'alu,Medium,910,227.2
B,4,Recovery,33,6,6,4.5,0.612,Faga'tele,Low,0,214.6
B,4,Stress,33,5.5,5,NA,0.659,Faga'alu,Medium,910,153.7
B,4,Stress,33,5.5,5,NA,0.605,Vatia,Low,640,126.6
B,4,Stress,33,6,4.5,NA,0.667,Coconut Point,High,6707,NA
B,4,Stress,33,6,6,NA,0.668,Cannery,High,9276,98.7
B,4,Stress,33,6,6,NA,0.637,Faga'tele,Low,0,94.5
B,5,Recovery,33,5,5,4,0.625,Cannery,High,9276,189
B,5,Recovery,33,6,5.5,2.5,0.655,Vatia,Low,640,214.5
B,5,Recovery,33,6,6,4.5,0.645,Faga'tele,Low,0,151.9
B,5,Recovery,33,6,6,4.5,0.613,Faga'alu,Medium,910,149.5
B,5,Recovery,33,4.5,4.5,3.5,0.65,Coconut Point,High,6707,193.9
B,5,Stress,33,5.5,5.5,NA,0.596,Faga'alu,Medium,910,150
B,5,Stress,33,6,5.5,NA,0.667,Cannery,High,9276,109.2
B,5,Stress,33,6,6,NA,0.658,Vatia,Low,640,76.2
B,5,Stress,33,6,6,NA,0.616,Faga'tele,Low,0,100.3
B,5,Stress,33,4.5,3.5,NA,0.647,Coconut Point,High,6707,NA
B,6,Recovery,33,5.5,5.5,2.5,0.605,Faga'alu,Medium,910,185.2
B,6,Recovery,33,6,5,3.5,0.648,Coconut Point,High,6707,167.1
B,6,Recovery,33,6,5.5,5,0.61,Vatia,Low,640,164
B,6,Recovery,33,6,6,4,0.608,Faga'tele,Low,0,176.8
B,6,Recovery,33,6,6,4.5,0.676,Cannery,High,9276,143.1
B,6,Stress,33,5,4,NA,0.632,Coconut Point,High,6707,NA
B,6,Stress,33,6,5,NA,0.667,Cannery,High,9276,145.9
B,6,Stress,33,6,5.5,NA,0.663,Faga'alu,Medium,910,146
B,6,Stress,33,6,6,NA,0.629,Faga'tele,Low,0,67.3
B,6,Stress,33,6,6,NA,0.664,Vatia,Low,640,60.2
B,7,Recovery,33,5.5,5,2,0.627,Vatia,Low,640,240.2
B,7,Recovery,33,5.5,5.5,4,0.653,Cannery,High,9276,165
B,7,Recovery,33,6,5.5,1.5,0.666,Faga'alu,Medium,910,213.8
B,7,Recovery,33,6,5.5,2.5,0.631,Coconut Point,High,6707,220.2
B,7,Recovery,33,6,6,4,0.57,Faga'tele,Low,0,182.6
B,7,Stress,33,5.5,5,NA,0.65,Vatia,Low,640,112.1
B,7,Stress,33,5.5,5,NA,0.646,Faga'alu,Medium,910,154.2
B,7,Stress,33,5.5,5.5,NA,0.621,Faga'tele,Low,0,85.7
B,7,Stress,33,6,5.5,NA,0.633,Coconut Point,High,6707,NA
B,7,Stress,33,6,6,NA,0.669,Cannery,High,9276,130.1
B,8,Recovery,33,5,5,2.5,0.644,Vatia,Low,640,200.4
B,8,Recovery,33,5.5,5.5,5,0.63,Cannery,High,9276,104.2
B,8,Recovery,33,5.5,3.5,3.5,0.557,Coconut Point,High,6707,186.4
B,8,Recovery,33,6,5,2,0.651,Faga'alu,Medium,910,216.5
B,8,Recovery,33,6,6,2.5,0.653,Faga'tele,Low,0,245.3
B,8,Stress,33,5,3.5,NA,0.588,Coconut Point,High,6707,NA
B,8,Stress,33,6,5.5,NA,0.651,Faga'alu,Medium,910,127.8
B,8,Stress,33,6,6,NA,0.652,Cannery,High,9276,73.7
B,8,Stress,33,6,6,NA,0.575,Vatia,Low,640,78.4
B,8,Stress,33,6,6,NA,0.634,Faga'tele,Low,0,82.5
C,1,Recovery,34,5.5,4.5,2,0.677,Cannery,High,9276,208.9
C,1,Recovery,34,5.5,5,3.5,0.605,Faga'alu,Medium,910,196.5
C,1,Recovery,34,5.5,5.5,2.5,0.668,Coconut Point,High,6707,173.5
C,1,Recovery,34,5.5,5.5,4.5,0.612,Vatia,Low,640,189.2
