"Colony","Time.point","Site","LBSP","pop2016","DIN","Rep","28","33","34","35","Field","t35_normalizedto28","t34_normalizedto28","t33_normalizedto28"
6,"Stress","Coconut Point","High",6707,48.8,"1",0.663,0.632,0.624,0.654,NA,-0.00900000000000001,-0.039,-0.031
6,"Stress","Faga'alu","Medium",910,6.7,"1",0.665,0.663,0.648,0.597,NA,-0.0680000000000001,-0.017,-0.002
6,"Stress","Faga'tele","Low",0,0.3,"1",0.665,0.629,0.621,0.614,NA,-0.051,-0.044,-0.036
6,"Stress","Vatia","Low",640,4.1,"1",0.672,0.664,0.61,0.632,NA,-0.04,-0.0620000000000001,-0.00800000000000001
7,"Recovery","Cannery","High",9276,5.4,"1",0.663,0.653,0.636,0.663,NA,0,-0.027,-0.01
7,"Recovery","Cannery","High",9276,5.4,"2",0.656,0.627,0.629,0.661,NA,0.005,-0.027,-0.029
7,"Recovery","Coconut Point","High",6707,48.8,"1",0.665,0.631,0.631,0.625,NA,-0.04,-0.034,-0.034
7,"Recovery","Coconut Point","High",6707,48.8,"2",0.667,0.644,0.641,0.611,NA,-0.056,-0.026,-0.023
7,"Recovery","Faga'alu","Medium",910,6.7,"1",0.633,0.666,0.669,0,NA,-0.633,0.036,0.033
7,"Recovery","Faga'alu","Medium",910,6.7,"2",0.67,0.674,0,0.589,NA,-0.0810000000000001,-0.67,0.004
7,"Recovery","Faga'tele","Low",0,0.3,"1",0.64,0.57,0.627,0.611,NA,-0.029,-0.013,-0.0700000000000001
7,"Recovery","Faga'tele","Low",0,0.3,"2",0.638,0.627,0.611,0.627,NA,-0.011,-0.027,-0.011
7,"Recovery","Vatia","Low",640,4.1,"1",0.611,0.627,0.594,0.647,NA,0.036,-0.017,0.016
7,"Recovery","Vatia","Low",640,4.1,"2",0.688,0.617,0.608,0.642,NA,-0.0459999999999999,-0.08,-0.071
7,"Stress","Cannery","High",9276,5.4,"1",0.65,0.669,0.644,0.657,NA,0.00700000000000001,-0.00600000000000001,0.019
7,"Stress","Coconut Point","High",6707,48.8,"1",0.658,0.633,0.647,0.632,NA,-0.026,-0.011,-0.025
7,"Stress","Faga'alu","Medium",910,6.7,"1",0.586,0.646,0.619,0.582,NA,-0.004,0.033,0.0600000000000001
7,"Stress","Faga'tele","Low",0,0.3,"1",0.641,0.621,0.632,0.617,NA,-0.024,-0.00900000000000001,-0.02
7,"Stress","Vatia","Low",640,4.1,"1",0.626,0.65,0.6,0.6,NA,-0.026,-0.026,0.024
8,"Recovery","Cannery","High",9276,5.4,"1",0.636,0.63,0.59,0.65,NA,0.014,-0.046,-0.00600000000000001
8,"Recovery","Cannery","High",9276,5.4,"2",0.66,0.65,0.596,0.643,NA,-0.017,-0.0640000000000001,-0.01
8,"Recovery","Coconut Point","High",6707,48.8,"1",0.633,0.557,0.61,0.64,NA,0.00700000000000001,-0.023,-0.076
8,"Recovery","Coconut Point","High",6707,48.8,"2",0.67,0.615,0.597,0.563,NA,-0.107,-0.0730000000000001,-0.055
8,"Recovery","Faga'alu","Medium",910,6.7,"1",0.624,0.651,0.621,0.647,NA,0.023,-0.003,0.027
8,"Recovery","Faga'alu","Medium",910,6.7,"2",0.636,0.633,0.642,0.639,NA,0.003,0.00600000000000001,-0.003
8,"Recovery","Faga'tele","Low",0,0.3,"1",0.659,0.653,0.625,0.617,NA,-0.042,-0.034,-0.00600000000000001
8,"Recovery","Faga'tele","Low",0,0.3,"2",0.643,0.654,0.596,0.6,NA,-0.043,-0.047,0.011
8,"Recovery","Vatia","Low",640,4.1,"1",0.639,0.644,0.669,0.638,NA,-0.001,0.03,0.005
8,"Recovery","Vatia","Low",640,4.1,"2",0.666,0.66,0.63,0.619,NA,-0.047,-0.036,-0.00600000000000001
8,"Stress","Cannery","High",9276,5.4,"1",0.685,0.652,0.628,0.565,NA,-0.12,-0.0570000000000001,-0.033
8,"Stress","Coconut Point","High",6707,48.8,"1",0.606,0.588,0.658,0.647,NA,0.041,0.052,-0.018
8,"Stress","Faga'alu","Medium",910,6.7,"1",0.64,0.651,0.57,0.61,NA,-0.03,-0.0700000000000001,0.011
8,"Stress","Faga'tele","Low",0,0.3,"1",0.669,0.634,0.597,0.619,NA,-0.05,-0.0720000000000001,-0.035
8,"Stress","Vatia","Low",640,4.1,"1",0.631,0.575,0.623,0.665,NA,0.034,-0.00800000000000001,-0.056
